Player_ID,Team_ID,Player,First Name,Last Name,PPG,APG,RPG,SPG,3P%
641,4,Ethan Morton,Ethan ,Morton,4,0.5,1.5,1,0.667
732,2,Kerr Kriisa,Kerr ,Kriisa,3,1,2,0,0.1
746,35,Devante Jones,Devante ,Jones,2,3,3,0,0
26,28,Daylen Kountz,Daylen ,Kountz,23,3,4,1,0
142,28,Kur Jockuch,Kur ,Jockuch,16,0,12,0,0
335,28,Bodie Hume,Bodie,Hume,11,2,11,0,0.375
399,28,Dru Kuxhausen,Dru,Kuxhausen,10,1,0,1,0.429
437,28,Dalton Knecht,Dalton ,Knecht,9,0,3,2,0
610,28,Matt Johnson II,Matt,Johnson II,5,3,2,1,0.333
51,36,Carl Pierre,Carl,Pierre,20,1,8,0,0.25
309,36,Travis Evee,Travis,Evee,12,4,4,1,0.25
342,36,Chris Mullins,Chris,Mullins,11,5,1,2,0
468,36,Max Fiedler,Max,Fiedler,8,1,6,1,0
770,36,Terrance McBride,Terrance,McBride,2,0,1,0,0
782,36,Cameron Sheffield,Cameron,Sheffield,1,0,4,0,0
735,54,Nick Sherod,Nick,Sherod,2.5,0,1,0,0
113,61,Jyare Davis,Jyare,Davis,17,1,6,0,0
608,17,Zep Jasper,Zep,Jasper,5,2,0.5,0,0
348,39,Zeke Mayo,Zeke,Mayo,11,1,4,3,0.375
693,38,Zed Key,Zed,Key,3,0,9,0,0
419,6,Zakai Zeigler,Zakai,Zeigler,9,3.5,1,0.5,0.25
232,4,Zach Edey,Zach,Edey,13.5,0.5,9.5,0,0
531,58,Zac Watson,Zac,Watson,7,2,3,1,0
713,67,Yahuza Rasas,Yahuza,Rasas,3,0.5,1.5,0,0
764,32,Yahell Hill,Yahell,Hill,2,1,0,0,0
310,56,Xavier Bishop,Xavier,Bishop,12,2,1,1,0.5
368,31,Xavier Johnson,Xavier,Johnson,10.5,6,3,1,0.5
749,41,Xavier Pinson,Xavier,Pinson,2,7,2,1,0
94,55,Xavier Castaneda,Xavier,Castaneda,18,1,6,1,0.286
602,52,"William McNair, Jr.",William,"McNair,",5,0,5,0,0
202,11,"Wendell Moore, Jr.",Wendell,"Moore,",14,5,4,1.5,0.75
381,17,"Wendell Green, Jr.",Wendell,"Green,",10,5.5,3,0,0.25
506,17,Walker Kessler,Walker,Kessler,7.5,0.5,6,0.5,0
391,64,Vincent Lee,Vincent,Lee,10,2,4,2,0
632,7,"TyTy Washington, Jr.",TyTy,"Washington,",5,1,2,0,0.5
470,19,Tyson Degenhart,Tyson,Degenhart,8,1,4,0,0.667
409,27,Tyson Walker,Tyson,Walker,9.5,4,1.5,0.5,0.286
434,18,Tyrese Martin,Tyrese,Martin,9,3,5,0,0.5
612,34,Tyrese Samuel,Tyrese,Samuel,5,1,2,1,0
233,51,Tyrese Hunter,Tyrese,Hunter,13.5,4,4.5,4,0.5
533,63,Tyrese Jenkins,Tyrese,Jenkins,7,1,1,1,0.333
540,18,Tyler Polley,Tyler,Polley,7,0,0,0,0.286
720,56,Tyler Patterson,Tyler,Patterson,3,0,3,1,0.143
511,20,Tyler Harris,Tyler,Harris,7.5,1.5,0.5,0.5,0.167
319,23,Tyler Wahl,Tyler,Wahl,11.5,2,8.5,1,0
690,50,Tyler Kolek,Tyler,Kolek,3,10,1,0,0.25
320,54,Tyler Burton,Tyler,Burton,11.5,0.5,8.5,2.5,0.2
136,5,Tyger Campbell,Tyger,Campbell,16,4.5,2,0,0.429
589,63,Ty Gordon,Ty,Gordon,6,3,1,0,0.182
182,49,Tucker Richardson,Tucker,Richardson,15,1,7,1,0.5
137,22,Trey Alexander,Trey,Alexander,16,7,3.5,1.5,0.4
226,25,Trey Pulliam,Trey,Pulliam,14,3,3,2,1
781,12,Trey Wade,Trey,Wade,1,0.5,1,0.5,0
520,45,Trey Jemison,Trey,Jemison,7,2,9,0,0
739,47,Trey Wertz,Trey,Wertz,2,2.3,0.7,1,0.5
74,62,Trey Calvin,Trey,Calvin,18.5,4,3,2,0.4
93,68,Trey Tennyson,Trey,Tennyson,18,0,4,1,0.429
424,11,Trevor Keels,Trevor,Keels,9,1,3,0.5,0.25
167,4,Trevion Williams,Trevion,Williams,15,3,8.5,0.5,0
601,16,Trent Frazier,Trent,Frazier,5,4,3,1.5,0.091
214,32,Tre Gomillion,Tre,Gomillion,14,5,7,3,0
42,31,Trayce Jackson-Davis,Trayce,Jackson-Davis,20.5,1,7,0,0
716,34,Tray Jackson,Tray,Jackson,3,0,1,2,0.25
530,64,Tray Maddox,Tray,Maddox,7,3,2,1,0.2
206,24,Trae Hannibal,Trae,Hannibal,14,0.5,7,2,0
273,32,Torrey Patton,Torrey,Patton,13,1,11,2,0
588,13,Tony Perkins,Tony,Perkins,6,1,1,0,0
171,14,Tommy Kuhse,Tommy,Kuhse,15,6,2,1,0.308
469,21,Timmy Allen,Timmy,Allen,8,2,4,1,0
314,62,Tim Finke,Tim,Finke,11.5,4.5,6.5,2,0.357
157,24,Tevin Brown,Tevin,Brown,15.5,3.5,6.5,1,0.316
397,68,Terrion Murdix,Terrion,Murdix,10,6,3,1,0.333
592,35,Terrance Williams II,Terrance,Williams,5.5,0.5,2,0,0.333
18,52,Teddy Allen,Teddy,Allen,24.5,1.5,5,1.5,0.462
166,15,Taze Moore,Taze,Moore,15,3.5,5.5,1.5,0.143
